levantar,ascender, surgir|arise|arose|arisen|
|echarse a perder, saquear, arruniar|spoil|spoiled / spoilt|spoiled / spoilt
|alimentar a alguien utilizando cucharra|spoon-feed|spoon-fed|spoon-fed
|esparcir, untar, difundir , entenderse|spread|spread|spread
|saltar, soltar, accionar|spring|sprang / sprung|sprung
|pararse, ponerse de pie, colocar|stand|stood|stood
|robar|steal|stole|stolen
|pegar, poner, colocar, adherirse|stick|stuck|stuck
|picar, arder|sting|stung|stung
|apestar|stink|stunk / stank|stunk
|esparcir, desparramar|strew|strewed|strewn / strewed
|ir dando trancos|stride|strode|stridden
|borrar, eliminar|strike (delete)|struck|stricken
|pegar, golpear, atacar|strike (hit)|struck|struck / stricken
|ensartar|string|strung|strung
|luchar, esforzarse|strive|strove / strived|striven / strived
|subarrendar|sublet|sublet|sublet
|quemarse por el sol|sunburn|sunburned / sunburnt|sunburned / sunburnt
|jurar, decir palabrotas|swear|swore|sworn
|sudar, transpirar|sweat|sweat / sweated|sweat / sweated
|barrer|sweep|swept|swept
|nflarse, hincharse, aumentarse|swell|swelled|swollen / swelled
|nadar|swim|swam|swum
|columpiarse, girar, oscilar|swing|swung|swung
T||||
|tomar, agarrar, llevar, aguantar, aceptar, suponer|take|took|taken
|enseñar|teach|taught|taught
|desgarrar, romper, rasgar|tear|tore|torn
|decir, contar|tell|told|told
|probar un coche/carro|test-drive|test-drove|test-driven
|pensar|think|thought|thought
|lanzar, tirar|throw|threw|thrown
|empujar bruscamente, apuñalar, clavar|thrust|thrust|thrust
|caminar, andar|tread|trod|trodden / trod
|asignar un papel en una obra basado en las caracteristicas del actor, o de los papeles anteriores|typecast|typecast|typecast
U||||
|desatar, desamarrar, liberar|unbind|unbound|unbound
|vender más barato que|undercut|undercut|undercut
|alimentar muy poco|underfeed|underfed|underfed
|sufrir, experimentar, someterse|undergo|underwent|undergone
|estar a bajo de|underlie|underlay|underlain
|vender más barato que|undersell|undersold|undersold
|entender, comprender|understand|understood|understood
|asumir, comprometerse|undertake|undertook|undertaken
|asegurar, financiar, respaldar|underwrite|underwrote|underwritten
|desabrochar, desatar, abrir, deshacer, arruinar|undo|undid|undone
|olvidar lo aprendido|unlearn|unlearned / unlearnt|unlearned / unlearnt
|sostener, apoyar, mantener, levantar, confirmar|uphold|upheld|upheld
|volcar, derramar, perturbar, disgustar, inquietar, alterar, derrotar|upset|upset|upset
V||||
W||||
|despertar|wake|woke / waked|woken / waked
|abordar|waylay|waylaid|waylaid
|llevar puesto, usar ropa|wear|wore|worn
|tejer con aguja|weave|wove / weaved|woven / weaved
|casarse|wed|wed / wedded|wed / wedded
|llorar|weep|wept|wept
|mojar|wet|wet / wetted|wet / wetted
|ganar|win|won|won
|envolver, enrollar, darle cuerda|wind|wound|wound
|retirar|withdraw|withdrew|withdrawn
|retener, negar|withhold|withheld|withheld
|aguantar, soportar , resistir|withstand|withstood|withstood
|exprimir, torcer, arrancar|wring|wrung|wrung
|escribir|write|wrote|written
